	X_Minimum	X_Maximum	Y_Minimum	Y_Maximum	Pixels_Areas	X_Perimeter	Y_Perimeter	Sum_of_Luminosity	Minimum_of_Luminosity	Maximum_of_Luminosity	Length_of_Conveyer	TypeOfSteel_A300	TypeOfSteel_A400	Steel_Plate_Thickness	Edges_Index	Empty_Index	Square_Index	Outside_X_Index	Edges_X_Index	Edges_Y_Index	Outside_Global_Index	LogOfAreas	Log_X_Index	Log_Y_Index	Orientation_Index	Luminosity_Index	SigmoidOfAreas	Class
551	121	159	473414	473430	229	51	31	28034	116	135	1358	0	1	40	0.1782	0.6234	0.4211	0.028	0.7451	0.5161	0.0	2.3598	1.5798	1.2041	-0.5789	-0.0436	0.8848	3
555	34	51	132507	132576	759	45	69	67978	44	124	1362	0	1	40	0.0499	0.3529	0.2464	0.0125	0.3778	1.0	1.0	2.8802	1.2305	1.8389	0.7536	-0.3003	0.997	1
556	475	482	626952	626956	18	7	4	2319	112	140	1360	0	1	50	0.6985	0.3571	0.5714	0.0052	1.0	1.0	0.0	1.2553	0.8451	0.6021	-0.4286	0.0065	0.1384	4
559	39	187	1480323	1480475	13309	500	310	1550152	31	143	1402	0	1	40	0.0556	0.4084	0.9737	0.1056	0.296	0.4903	1.0	4.1241	2.1703	2.1818	0.0263	-0.09	1.0	3
560	869	877	899390	899399	52	9	9	5483	91	119	1626	1	0	70	0.9213	0.2778	0.8889	0.0049	0.8889	1.0	1.0	1.716	0.9031	0.9542	0.1111	-0.1762	0.1773	6
561	145	174	386779	386794	292	40	22	37572	120	140	1360	0	1	40	0.2132	0.3287	0.5172	0.0213	0.725	0.6818	0.0	2.4654	1.4624	1.1761	-0.4828	0.0052	0.7079	7
562	174	203	1008474	1008502	328	69	41	37200	101	126	1692	1	0	80	0.2057	0.5961	0.9655	0.0171	0.4203	0.6829	0.0	2.5159	1.4624	1.4472	-0.0345	-0.1139	0.9676	6
566	83	202	7655518	7655567	3455	157	86	373412	67	127	1360	0	1	40	0.1221	0.4075	0.4118	0.0875	0.758	0.5698	0.0	3.5385	2.0756	1.6902	-0.5882	-0.1556	1.0	3
571	21	39	3411415	3411438	201	46	28	23925	112	126	1364	0	1	40	0.0308	0.5145	0.7826	0.0132	0.3913	0.8214	1.0	2.3032	1.2553	1.3617	0.2174	-0.0701	0.6781	7
573	382	392	172773	172798	137	18	26	23072	161	175	1353	0	1	100	0.5647	0.452	0.4	0.0074	0.5556	0.9615	1.0	2.1367	1.0	1.3979	0.6	0.3157	0.4138	7
577	923	931	1120157	1120180	120	17	23	12238	84	124	1688	1	0	70	0.8969	0.3478	0.3478	0.0047	0.4706	1.0	1.0	2.0792	0.9031	1.3617	0.6522	-0.2033	0.3125	1
584	279	290	119026	119036	86	15	10	7987	73	109	1694	0	1	60	0.3294	0.2182	0.9091	0.0065	0.7333	1.0	0.0	1.9345	1.0414	1.0	-0.0909	-0.2744	0.2173	7
585	1123	1140	34172	34180	76	18	8	10680	130	150	1698	1	0	85	0.6572	0.4412	0.4706	0.01	0.9444	1.0	0.0	1.8808	1.2305	0.9031	-0.5294	0.0979	0.2482	6
586	41	216	2957266	2957336	6653	302	155	693100	42	124	1358	0	1	40	0.0604	0.4569	0.4	0.1289	0.5795	0.4516	0.0	3.823	2.243	1.8451	-0.6	-0.1861	1.0	3
588	21	45	3063739	3063768	277	52	42	33476	113	128	1362	0	1	40	0.0308	0.602	0.8276	0.0176	0.4615	0.6905	1.0	2.4425	1.3802	1.4624	0.1724	-0.0558	0.9324	7
591	788	800	10409376	10409388	110	13	12	12304	100	124	1360	0	1	40	0.8235	0.2361	1.0	0.0088	0.9231	1.0	0.5	2.0414	1.0792	1.0792	0.0	-0.1261	0.2583	7
592	751	763	424082	424112	212	38	32	23916	90	125	1358	0	1	175	0.8763	0.4111	0.4	0.0088	0.3158	0.9375	1.0	2.3263	1.0792	1.4771	0.6	-0.1187	0.5951	6
594	41	212	1505915	1505982	6494	315	145	671353	38	127	1356	0	1	40	0.0605	0.4332	0.3918	0.1261	0.5429	0.4621	0.0	3.8125	2.233	1.8261	-0.6082	-0.1923	1.0	3
595	1317	1326	3426581	3426590	58	11	9	6412	97	124	1692	1	0	60	0.4326	0.284	1.0	0.0053	0.8182	1.0	0.5	1.7634	0.9542	0.9542	0.0	-0.1363	0.1862	6
598	1058	1080	751892	751911	133	35	20	17085	112	142	1658	1	0	143	0.6972	0.6818	0.8636	0.0133	0.6286	0.95	0.0	2.1239	1.3424	1.2787	-0.1364	0.0036	0.6839	7
599	1059	1069	117715	117724	76	10	9	15483	195	213	1387	0	1	40	0.4585	0.1556	0.9	0.0072	1.0	1.0	0.0	1.8808	1.0	0.9542	-0.1	0.5916	0.1954	3
600	109	141	4025621	4025624	53	32	7	6578	84	159	1690	1	0	70	0.129	0.4479	0.0938	0.0189	1.0	0.4286	0.0	1.7243	1.5051	0.4771	-0.9063	-0.0304	0.2018	7
601	623	639	2003323	2003457	1004	99	134	125338	109	143	1362	0	1	100	0.9148	0.5317	0.1194	0.0117	0.1616	1.0	1.0	3.0017	1.2041	2.1271	0.8806	-0.0247	1.0	5
603	681	692	564704	564721	147	17	17	14809	78	118	1358	0	1	50	0.9808	0.2139	0.6471	0.0081	0.6471	1.0	1.0	2.1673	1.0414	1.2305	0.3529	-0.213	0.3168	6
604	947	960	1388292	1388304	107	15	12	10416	65	119	1690	1	0	60	0.8639	0.3141	0.9231	0.0077	0.8667	1.0	0.0	2.0294	1.1139	1.0792	-0.0769	-0.2395	0.2739	6
605	621	633	2076516	2076679	969	124	163	103558	92	141	1364	0	1	100	0.9106	0.5046	0.0736	0.0088	0.0968	1.0	1.0	2.9863	1.0792	2.2122	0.9264	-0.1651	1.0	5
606	82	92	149044	149083	264	15	39	32175	92	141	1687	0	1	200	0.0972	0.3231	0.2564	0.0059	0.6667	1.0	1.0	2.4216	1.0	1.5911	0.7436	-0.0479	0.6422	1
607	15	32	1003575	1003594	132	18	20	14926	105	124	1387	0	1	40	0.0216	0.5913	0.8947	0.0123	0.9444	0.95	1.0	2.1206	1.2305	1.2787	0.1053	-0.1166	0.5345	7
608	239	269	276029	276047	299	51	22	37820	116	140	1360	0	1	40	0.3515	0.4463	0.6	0.0221	0.5882	0.8182	0.0	2.4757	1.4771	1.2553	-0.4	-0.0118	0.8299	7
611	487	497	4186980	4186988	52	20	8	6999	130	141	1352	0	1	40	0.7204	0.35	0.8	0.0074	0.5	1.0	0.0	1.716	1.0	0.9031	-0.2	0.0515	0.1852	6
612	699	740	1503538	1503546	176	44	15	18466	90	119	1353	1	0	50	0.9061	0.4634	0.1951	0.0303	0.9318	0.5333	0.0	2.2455	1.6128	0.9031	-0.8049	-0.1803	0.5428	6
613	43	195	1636571	1636729	13057	562	361	1507763	32	140	1404	0	1	40	0.0613	0.4563	0.962	0.1083	0.2705	0.4377	1.0	4.1158	2.1818	2.1987	0.038	-0.0979	1.0	3
614	1145	1157	2613103	2613123	168	15	20	19901	105	135	1362	0	1	40	0.301	0.3	0.6	0.0088	0.8	1.0	1.0	2.2253	1.0792	1.301	0.4	-0.0745	0.3977	6
617	39	218	979651	979800	15937	745	463	1847157	31	141	1398	0	1	40	0.0558	0.4025	0.8324	0.128	0.2403	0.3218	0.0	4.2024	2.2529	2.1732	-0.1676	-0.0945	1.0	3
622	780	787	1686880	1686891	55	9	11	6124	95	125	1690	1	0	60	0.9231	0.2857	0.6364	0.0041	0.7778	1.0	1.0	1.7404	0.8451	1.0414	0.3636	-0.1301	0.1822	1
623	195	225	921071	921130	790	103	83	104560	119	149	1692	1	0	80	0.2305	0.5537	0.5085	0.0177	0.2913	0.7108	1.0	2.8976	1.4771	1.7708	0.4915	0.034	0.9999	6
624	2	226	29657	29792	16052	805	400	1594353	26	126	1358	0	1	50	0.003	0.4692	0.6027	0.1649	0.2783	0.3375	0.0	4.2055	2.3503	2.1303	-0.3973	-0.224	1.0	3
625	773	801	2240409	2240422	207	34	23	26766	114	143	1668	1	0	100	0.9269	0.4313	0.4643	0.0168	0.8235	0.5652	0.0	2.316	1.4472	1.1139	-0.5357	0.0102	0.6015	7
626	43	193	2368032	2368203	9892	682	424	1130960	42	140	1402	0	1	40	0.0613	0.6144	0.8772	0.107	0.2199	0.4033	1.0	3.9953	2.1761	2.233	0.1228	-0.1068	1.0	3
627	1285	1293	1715283	1715307	110	20	24	12413	100	127	1650	1	0	69	0.4327	0.4271	0.3333	0.0049	0.4	1.0	1.0	2.0414	0.9031	1.3802	0.6667	-0.1184	0.3241	6
628	1182	1185	171874	171878	8	3	4	958	108	135	1362	0	1	50	0.2599	0.3333	0.75	0.0022	1.0	1.0	1.0	0.9031	0.4771	0.6021	0.25	-0.0645	0.1262	4
630	50	181	345580	345626	3666	161	78	379668	43	125	1360	0	1	40	0.0735	0.3916	0.3512	0.0963	0.8137	0.5897	0.0	3.5642	2.1173	1.6628	-0.6489	-0.1909	1.0	3
631	24	52	2787299	2787427	1543	150	151	160372	81	126	1352	1	0	70	0.0355	0.5695	0.2188	0.0207	0.1867	0.8477	1.0	3.1884	1.4472	2.1072	0.7813	-0.188	1.0	2
633	63	92	3212692	3212695	58	29	10	7618	100	165	1690	1	0	70	0.0746	0.3333	0.1035	0.0172	1.0	0.3	0.0	1.7634	1.4624	0.4771	-0.8965	0.0261	0.1923	7
634	174	194	802771	802822	585	101	56	63194	96	125	1352	1	0	70	0.2574	0.4265	0.3922	0.0148	0.198	0.9107	1.0	2.7672	1.301	1.7076	0.6078	-0.1561	0.9917	2
635	196	209	652754	652766	54	22	22	6470	110	129	1467	1	0	100	0.2672	0.6539	0.9231	0.0089	0.5909	0.5454	0.0	1.7324	1.1139	1.0792	-0.0769	-0.064	0.2739	7
636	1370	1379	980597	980617	113	13	20	11635	94	116	1387	0	1	40	0.0115	0.3722	0.45	0.0065	0.6923	1.0	1.0	2.0531	0.9542	1.301	0.55	-0.1956	0.3068	7
637	181	191	398801	398815	112	15	14	11998	87	126	1794	1	0	80	0.2018	0.2	0.7143	0.0056	0.6667	1.0	1.0	2.0492	1.0	1.1461	0.2857	-0.1631	0.2532	6
639	217	225	199985	200008	117	19	24	16891	135	156	1353	0	1	100	0.3208	0.3641	0.3478	0.0059	0.4211	0.9583	1.0	2.0682	0.9031	1.3617	0.6522	0.1279	0.3125	7
640	104	116	2312016	2312026	67	15	16	7882	107	127	1354	1	0	70	0.1536	0.4417	0.8333	0.0089	0.8	0.625	0.0	1.8261	1.0792	1.0	-0.1667	-0.0809	0.2288	7
643	34	42	451067	451079	59	13	12	5608	85	103	1354	1	0	70	0.0502	0.3854	0.6667	0.0059	0.6154	1.0	1.0	1.7708	0.9031	1.0792	0.3333	-0.2574	0.2018	2
645	419	424	91039	91046	25	7	7	2576	99	110	1360	0	1	130	0.6162	0.2857	0.7143	0.0037	0.7143	1.0	1.0	1.3979	0.699	0.8451	0.2857	-0.195	0.1441	7
647	1586	1598	214533	214550	123	19	17	10646	77	103	1692	0	1	300	0.1111	0.3971	0.7059	0.0071	0.6316	1.0	1.0	2.0899	1.0792	1.2305	0.2941	-0.3238	0.3419	7
650	41	215	1150090	1150255	16968	670	399	1976551	26	143	1400	0	1	40	0.0586	0.409	0.9483	0.1243	0.2597	0.4135	0.0	4.2296	2.2406	2.2175	-0.0517	-0.09	1.0	3
653	39	215	1601728	1601796	6430	276	127	669161	46	126	1358	0	1	40	0.0574	0.4627	0.3864	0.1296	0.6377	0.5354	0.0	3.8082	2.2455	1.8325	-0.6136	-0.187	1.0	3
659	833	856	937709	937842	1058	142	151	132331	112	143	1396	0	1	220	0.7736	0.6541	0.1729	0.0165	0.162	0.8808	1.0	3.0245	1.3617	2.1239	0.8271	-0.0228	1.0	7
660	118	128	1566617	1566638	126	22	21	13355	90	119	1690	1	0	60	0.1396	0.4	0.4762	0.0059	0.4545	1.0	1.0	2.1004	1.0	1.3222	0.5238	-0.1719	0.3509	6
662	62	74	12987661	12987692	258	27	31	26902	75	125	1360	0	1	40	0.0912	0.3065	0.3871	0.0088	0.4444	1.0	1.0	2.4116	1.0792	1.4914	0.6129	-0.1854	0.6142	1
663	39	185	2442600	2442673	5576	235	133	598862	43	135	1400	0	1	40	0.0557	0.4768	0.5	0.1043	0.6213	0.5489	0.0	3.7463	2.1644	1.8633	-0.5	-0.1609	1.0	3
664	1593	1608	1724027	1724129	927	65	103	89508	68	127	1698	0	1	90	0.106	0.3941	0.1471	0.0088	0.2308	0.9903	1.0	2.9671	1.1761	2.0086	0.8529	-0.2456	0.9997	1
669	1338	1346	7851	7865	60	13	14	5577	86	102	1366	0	1	185	0.0293	0.4643	0.5714	0.0059	0.6154	1.0	1.0	1.7781	0.9031	1.1461	0.4286	-0.2738	0.2195	6
671	2	8	448681	448720	137	18	39	18013	121	143	1687	0	1	200	0.0024	0.4145	0.1539	0.0036	0.3333	1.0	1.0	2.1367	0.7782	1.5911	0.8461	0.0272	0.3882	7
673	1325	1332	1599135	1599173	175	30	38	21073	111	133	1354	0	1	40	0.0325	0.3421	0.1842	0.0052	0.2333	1.0	1.0	2.243	0.8451	1.5798	0.8158	-0.0592	0.4399	5
675	1069	1090	2993390	2993405	113	40	21	10613	82	116	1364	1	0	80	0.4018	0.6413	0.7143	0.0154	0.525	0.7143	0.0	2.0531	1.3222	1.1761	-0.2857	-0.2663	0.5212	6
680	656	666	336137	336152	114	10	15	11618	77	122	1687	1	0	80	0.7777	0.24	0.6667	0.0059	1.0	1.0	1.0	2.0569	1.0	1.1761	0.3333	-0.2038	0.266	7
681	1015	1023	639490	639507	81	17	17	10095	113	143	1362	0	1	175	0.4978	0.4044	0.4706	0.0059	0.4706	1.0	1.0	1.9085	0.9031	1.2305	0.5294	-0.0263	0.2482	6
683	239	282	505112	505127	226	64	33	28906	120	141	1360	0	1	100	0.3515	0.6496	0.3488	0.0316	0.6719	0.4545	0.0	2.3541	1.6335	1.1761	-0.6512	-0.0008	0.9076	6
684	41	185	1934838	1934989	9576	564	343	1098162	37	141	1402	0	1	40	0.0585	0.5596	0.9536	0.1027	0.2553	0.4402	1.0	3.9812	2.1584	2.179	0.0464	-0.1041	1.0	3
690	0	14	1030360	1030463	754	55	106	61497	63	106	1687	1	0	80	0.0	0.4771	0.1359	0.0083	0.2546	0.9717	1.0	2.8774	1.1461	2.0128	0.8641	-0.3628	0.9995	7
691	1421	1448	5921344	5921348	81	28	9	10329	113	141	1650	1	0	69	0.2448	0.25	0.1481	0.0164	0.9643	0.4444	0.0	1.9085	1.4314	0.6021	-0.8518	-0.0038	0.215	5
694	1333	1347	1436808	1436820	121	17	12	11890	67	125	1356	0	1	40	0.0133	0.2798	0.8571	0.0103	0.8235	1.0	0.0	2.0828	1.1461	1.0792	-0.1429	-0.2323	0.2901	7
695	299	309	1692615	1692621	21	15	7	2683	120	141	1360	0	1	50	0.4397	0.65	0.6	0.0074	0.6667	0.8571	0.0	1.3222	1.0	0.7782	-0.4	-0.0019	0.1659	4
696	354	467	903537	903631	6019	211	119	541426	16	125	1364	1	0	70	0.5191	0.4333	0.8319	0.0828	0.5355	0.7899	0.0	3.7795	2.0531	1.9731	-0.1681	-0.2972	1.0	7
697	610	625	529042	529057	172	15	16	19997	101	127	1387	0	1	40	0.8796	0.2356	1.0	0.0108	1.0	0.9375	0.5	2.2355	1.1761	1.1761	0.0	-0.0917	0.374	7
698	1252	1348	355940	356016	1812	119	135	196003	82	132	1687	1	0	80	0.4019	0.7516	0.7917	0.0569	0.8067	0.563	0.0	3.2582	1.9823	1.8808	-0.2083	-0.1549	1.0	6
699	108	117	80480	80500	105	17	21	16675	151	172	1353	0	1	100	0.1596	0.4167	0.45	0.0066	0.5294	0.9524	1.0	2.0212	0.9542	1.301	0.55	0.2407	0.3068	7
700	13	23	2632520	2632529	53	13	9	5267	90	109	1354	1	0	70	0.0192	0.4111	0.9	0.0074	0.7692	1.0	0.0	1.7243	1.0	0.9542	-0.1	-0.2236	0.1954	2
701	17	26	1651888	1651909	145	18	21	18695	101	156	1358	1	0	70	0.025	0.2328	0.4286	0.0066	0.5	1.0	1.0	2.1614	0.9542	1.3222	0.5714	0.0073	0.3197	1
702	41	212	1309877	1310041	11271	664	396	1297285	27	141	1402	0	1	40	0.0585	0.5981	0.9591	0.122	0.2575	0.4141	0.0	4.052	2.233	2.2148	-0.0409	-0.1008	1.0	3
705	104	171	899231	899307	1961	220	142	246168	115	135	1356	0	1	40	0.1534	0.6149	0.8816	0.0494	0.3045	0.5352	1.0	3.2925	1.8261	1.8808	0.1184	-0.0193	1.0	3
707	1137	1154	2265683	2265692	77	25	16	8170	95	119	1356	1	0	80	0.2979	0.4967	0.5294	0.0125	0.68	0.5625	0.0	1.8865	1.2305	0.9542	-0.4706	-0.1711	0.2699	7
709	83	93	1846280	1846289	61	12	10	6490	96	118	1356	1	0	70	0.1224	0.3222	0.9	0.0074	0.8333	0.9	0.0	1.7853	1.0	0.9542	-0.1	-0.1688	0.1954	2
710	1170	1182	61060	61074	126	12	14	14727	103	127	1353	0	1	185	0.2528	0.25	0.8571	0.0089	1.0	1.0	1.0	2.1004	1.0792	1.1461	0.1429	-0.0869	0.2901	7
714	893	907	3264755	3264786	263	31	31	28320	86	126	1690	0	1	70	0.9266	0.394	0.4516	0.0083	0.4516	1.0	1.0	2.42	1.1461	1.4914	0.5484	-0.1587	0.7065	7
715	446	453	200561	200567	30	8	6	3022	80	116	1692	1	0	143	0.5272	0.2857	0.8571	0.0041	0.875	1.0	0.0	1.4771	0.8451	0.7782	-0.1429	-0.213	0.1499	1
717	1094	1124	12806495	12806520	571	37	25	58587	63	127	1362	0	1	40	0.3495	0.2387	0.8333	0.022	0.8108	1.0	0.0	2.7566	1.4771	1.3979	-0.1667	-0.1984	0.9519	6
718	375	384	519677	519708	209	24	31	24034	90	143	1692	1	0	143	0.4433	0.2509	0.2903	0.0053	0.375	1.0	1.0	2.3201	0.9542	1.4914	0.7097	-0.1016	0.4613	1
719	1587	1602	211409	211458	323	51	53	33607	88	119	1692	0	1	300	0.1064	0.5605	0.3061	0.0089	0.2941	0.9245	1.0	2.5092	1.1761	1.6902	0.6939	-0.1871	0.9471	7
727	173	188	1835338	1835349	83	18	12	10702	116	140	1356	1	0	70	0.2552	0.497	0.7333	0.0111	0.8333	0.9167	0.0	1.9191	1.1761	1.0414	-0.2667	0.0073	0.286	2
729	1568	1578	698409	698420	89	12	11	8193	78	103	1652	1	0	80	0.0896	0.1909	0.9091	0.006	0.8333	1.0	1.0	1.9494	1.0	1.0414	0.0909	-0.2808	0.2173	7
730	1625	1634	1702442	1702491	267	43	49	22785	67	110	1690	1	0	60	0.0663	0.3946	0.1837	0.0053	0.2093	1.0	1.0	2.4265	0.9542	1.6902	0.8163	-0.3333	0.7161	1
732	386	394	1304617	1304626	51	10	9	5795	100	133	1624	1	0	70	0.4754	0.2917	0.8889	0.0049	0.8	1.0	1.0	1.7076	0.9031	0.9542	0.1111	-0.1123	0.1773	6
734	126	165	75758	75777	384	70	42	47481	115	135	1358	0	1	40	0.1856	0.4818	0.4872	0.0287	0.5571	0.4524	0.0	2.5843	1.5911	1.2787	-0.5128	-0.034	0.9491	3
735	1179	1185	496422	496428	25	6	6	2918	105	133	1694	1	0	100	0.6009	0.3056	1.0	0.0035	1.0	1.0	0.5	1.3979	0.7782	0.7782	0.0	-0.0881	0.1449	6
736	0	223	500276	500482	21987	1050	684	2638402	21	143	1398	0	1	40	0.0	0.5214	0.9238	0.1595	0.2124	0.3012	0.0	4.3422	2.3483	2.3139	-0.0762	-0.0625	1.0	3
738	103	112	208092	208112	108	20	22	16455	145	159	1353	0	1	100	0.1523	0.4	0.45	0.0066	0.45	0.9091	1.0	2.0334	0.9542	1.301	0.55	0.1903	0.3068	7
739	614	622	2215716	2215730	68	13	14	7990	109	133	1364	0	1	100	0.9003	0.3929	0.5714	0.0059	0.6154	1.0	1.0	1.8325	0.9031	1.1461	0.4286	-0.082	0.2195	5
741	63	73	3947227	3947239	85	11	12	9693	95	133	1648	1	0	80	0.0765	0.2917	0.8333	0.0061	0.9091	1.0	1.0	1.9294	1.0	1.0792	0.1667	-0.1091	0.2288	6
742	1067	1103	4532922	4532948	364	99	60	41956	99	133	1358	1	0	100	0.3756	0.6111	0.7222	0.0265	0.3636	0.4333	0.0	2.5611	1.5563	1.415	-0.2778	-0.0995	0.9856	6
747	1155	1167	2124816	2124840	165	22	26	18742	87	134	1626	0	1	125	0.5646	0.4271	0.5	0.0074	0.5454	0.9231	1.0	2.2175	1.0792	1.3802	0.5	-0.1126	0.4763	1
749	43	214	1164302	1164475	14969	805	503	1758655	27	142	1400	0	1	40	0.0614	0.494	0.9884	0.1221	0.2124	0.3439	1.0	4.1752	2.233	2.238	0.0116	-0.0821	1.0	3
750	347	364	1124976	1125024	390	51	50	46226	110	127	1372	0	1	40	0.5058	0.5221	0.3542	0.0124	0.3333	0.96	1.0	2.5911	1.2305	1.6812	0.6458	-0.074	0.9685	7
751	39	180	2552670	2552812	8957	588	360	1025103	35	141	1400	0	1	40	0.0557	0.5526	0.993	0.1007	0.2398	0.3944	1.0	3.9522	2.1492	2.1523	0.007	-0.1059	1.0	3
753	1	16	494893	494946	397	50	56	21964	33	84	1354	1	0	70	0.0015	0.5006	0.283	0.0111	0.3	0.9464	1.0	2.5988	1.1761	1.7243	0.717	-0.5678	0.9639	2
754	478	512	1346996	1347021	286	54	33	30518	95	125	1356	1	0	70	0.705	0.6635	0.7353	0.0251	0.6296	0.7576	0.0	2.4564	1.5315	1.3979	-0.2647	-0.1664	0.9747	2
755	899	907	3283148	3283163	68	12	15	7836	107	127	1692	0	1	70	0.9279	0.4333	0.5333	0.0047	0.6667	1.0	1.0	1.8325	0.9031	1.1761	0.4667	-0.0997	0.2288	7
756	702	725	1715826	1715848	333	28	27	35740	91	123	1623	1	0	100	0.8651	0.3419	0.9565	0.0142	0.8214	0.8148	0.0	2.5224	1.3617	1.3424	-0.0435	-0.1615	0.7955	7
761	1505	1525	4373281	4373312	456	32	31	49848	92	124	1668	0	1	40	0.1715	0.2645	0.6452	0.012	0.625	1.0	1.0	2.659	1.301	1.4914	0.3548	-0.146	0.8927	7
763	39	195	2431945	2432111	8709	578	322	996980	47	141	1402	0	1	40	0.0556	0.6637	0.9398	0.1113	0.2699	0.5155	1.0	3.94	2.1931	2.2201	0.0602	-0.1057	1.0	3
765	780	804	3746641	3746649	99	30	18	13131	125	143	1378	0	1	40	0.8331	0.4844	0.3333	0.0174	0.8	0.4444	0.0	1.9956	1.3802	0.9031	-0.6667	0.0362	0.3241	7
766	39	214	1527208	1527274	6661	247	133	686124	41	133	1356	0	1	40	0.0575	0.4233	0.3771	0.1291	0.7085	0.4962	0.0	3.8235	2.243	1.8195	-0.6229	-0.1953	1.0	3
767	39	212	1299230	1299402	11875	657	387	1375431	32	143	1398	0	1	40	0.0558	0.6009	0.9942	0.1238	0.2633	0.4444	0.0	4.0746	2.238	2.2355	-0.0058	-0.0951	1.0	3
770	844	868	71768	71798	360	52	48	45627	113	141	1687	0	1	200	0.971	0.5	0.8	0.0142	0.4615	0.625	1.0	2.5563	1.3802	1.4771	0.2	-0.0098	0.9419	7
771	765	771	879259	879265	16	9	8	2069	123	140	1358	0	1	50	0.8645	0.5556	1.0	0.0044	0.6667	0.75	0.5	1.2041	0.7782	0.7782	0.0	0.0103	0.1449	4
772	39	212	1715280	1715348	6596	316	170	685447	44	124	1358	0	1	40	0.0574	0.4393	0.3931	0.1274	0.5475	0.4	0.0	3.8193	2.238	1.8325	-0.6069	-0.1881	1.0	3
774	1065	1083	3029617	3029632	155	27	17	14896	83	126	1364	1	0	80	0.412	0.4259	0.8333	0.0132	0.6667	0.8824	0.0	2.1903	1.2553	1.1761	-0.1667	-0.2492	0.4465	6
777	39	219	1516553	1516628	6999	285	165	732196	43	126	1358	0	1	40	0.0574	0.4816	0.4167	0.1326	0.6316	0.4545	0.0	3.845	2.2553	1.8751	-0.5833	-0.1827	1.0	3
778	1134	1156	728281	728304	375	32	23	34485	48	132	1364	1	0	70	0.305	0.2589	0.9565	0.0161	0.6875	1.0	1.0	2.574	1.3424	1.3617	0.0435	-0.2816	0.7955	6
779	852	856	134988	134992	12	6	4	1335	99	127	1358	0	1	50	0.7393	0.25	1.0	0.003	0.6667	1.0	0.5	1.0792	0.6021	0.6021	0.0	-0.1309	0.1292	4
780	138	151	1733458	1733471	102	15	13	10855	95	118	1650	1	0	70	0.1673	0.3965	1.0	0.0079	0.8667	1.0	0.5	2.0086	1.1139	1.1139	0.0	-0.1686	0.2914	7
782	50	72	2339660	2339663	51	22	5	6299	99	148	1690	1	0	70	0.0592	0.2273	0.1364	0.013	1.0	0.6	0.0	1.7076	1.3424	0.4771	-0.8636	-0.0351	0.1715	7
783	81	94	162885	162940	395	54	59	41476	92	127	1356	1	0	70	0.1195	0.4475	0.2364	0.0096	0.2407	0.9322	1.0	2.5966	1.1139	1.7404	0.7636	-0.1797	0.94	2
786	776	818	447943	447992	1222	77	54	112240	36	116	1654	1	0	80	0.9383	0.4062	0.8571	0.0254	0.5454	0.9074	1.0	3.0871	1.6233	1.6902	0.1429	-0.2824	1.0	7
787	919	930	561832	561842	88	11	10	14538	134	183	1387	0	1	40	0.659	0.2	0.9091	0.0079	1.0	1.0	0.0	1.9445	1.0414	1.0	-0.0909	0.2907	0.2173	3
790	41	194	743010	743076	5695	211	136	588714	40	126	1358	0	1	40	0.0604	0.436	0.4314	0.1127	0.7251	0.4853	0.0	3.7555	2.1847	1.8195	-0.5686	-0.1924	1.0	3
791	87	211	7797464	7797516	3900	203	90	425840	71	127	1360	0	1	40	0.1279	0.3952	0.4193	0.0912	0.6108	0.5778	0.0	3.5911	2.0934	1.716	-0.5806	-0.147	1.0	3
797	995	1002	66318	66328	45	8	10	4552	93	118	1358	0	1	130	0.5243	0.3571	0.7	0.0052	0.875	1.0	1.0	1.6532	0.8451	1.0	0.3	-0.2097	0.1753	7
798	126	163	544375	544389	200	50	30	24389	114	134	1358	0	1	40	0.1856	0.6139	0.3784	0.0272	0.74	0.4667	0.0	2.301	1.5682	1.1461	-0.6216	-0.0473	0.8082	3
800	604	646	4441757	4441811	1035	67	55	97966	46	125	1356	1	0	200	0.8909	0.5436	0.7778	0.031	0.6269	0.9818	1.0	3.0149	1.6233	1.7324	0.2222	-0.2605	1.0	6
802	1163	1205	4639384	4639402	359	79	49	50750	130	158	1360	1	0	100	0.2279	0.5251	0.4286	0.0309	0.5317	0.3674	0.0	2.5551	1.6233	1.2553	-0.5714	0.1044	0.9537	7
803	1571	1585	689792	689890	861	78	98	90154	91	126	1696	0	1	90	0.1309	0.3724	0.1429	0.0082	0.1795	1.0	1.0	2.935	1.1461	1.9912	0.8571	-0.182	0.9992	1
804	41	192	1647218	1647385	13699	587	352	1585785	37	141	1402	0	1	40	0.0585	0.4568	0.9042	0.1077	0.2572	0.4744	1.0	4.1367	2.179	2.2227	0.0958	-0.0956	1.0	3
806	39	226	702679	702873	18071	814	534	2160349	27	148	1400	0	1	40	0.0557	0.5019	0.9639	0.1336	0.2297	0.3633	1.0	4.257	2.2718	2.2878	0.0361	-0.066	1.0	3
807	182	211	402237	402266	268	98	55	35565	125	143	1364	0	1	40	0.2669	0.6813	1.0	0.0213	0.2959	0.5273	0.5	2.4281	1.4624	1.4624	0.0	0.0368	0.9732	7
809	39	191	2399992	2400148	8457	636	383	971036	38	141	1400	0	1	40	0.0557	0.6434	0.9744	0.1086	0.239	0.4073	1.0	3.9272	2.1818	2.1931	0.0256	-0.103	1.0	3
812	214	247	1538494	1538509	209	66	46	27037	118	143	1362	0	1	40	0.3142	0.5778	0.4545	0.0242	0.5	0.3261	0.0	2.3201	1.5185	1.1761	-0.5454	0.0106	0.7833	7
